position_x_um,dc_bias_V,load_nN,setpoint_V,invols_m_per_V,resonance_freq_Hz,q_factor,image_path,timestamp
0,0,1000,1.241006932331831,5.6551403e-07,254319.953125,1292.0915297293006,D:\User Data\MARTI\2026\April\16th\PPLN Multi75 vs Load\1000nN_0Deg\FLaserSweep0001.ibw,2026-04-16 18:42:11
1,0,1000,1.2513383753015441,5.6084497e-07,254123.125,1291.0915297293006,D:\User Data\MARTI\2026\April\16th\PPLN Multi75 vs Load\1000nN_0Deg\FLaserSweep0004.ibw,2026-04-16 18:43:47
2,0,1000,1.2601103058368943,5.569408e-07,254123.125,1291.0915297293006,D:\User Data\MARTI\2026\April\16th\PPLN Multi75 vs Load\1000nN_0Deg\FLaserSweep0007.ibw,2026-04-16 18:45:25
3,0,1000,1.2706811087093621,5.523076e-07,254123.125,1291.0915297293006,D:\User Data\MARTI\2026\April\16th\PPLN Multi75 vs Load\1000nN_0Deg\FLaserSweep0010.ibw,2026-04-16 18:47:03
4,0,1000,1.2791913673673398,5.486332e-07,254319.953125,1292.0915297293006,D:\User Data\MARTI\2026\April\16th\PPLN Multi75 vs Load\1000nN_0Deg\FLaserSweep0013.ibw,2026-04-16 18:48:40
5,0,1000,1.2896664716294284,5.44177e-07,254319.953125,1292.0915297293006,D:\User Data\MARTI\2026\April\16th\PPLN Multi75 vs Load\1000nN_0Deg\FLaserSweep0016.ibw,2026-04-16 18:50:17
6,0,1000,1.2989283237594855,5.402968e-07,254319.953125,1292.0915297293006,D:\User Data\MARTI\2026\April\16th\PPLN Multi75 vs Load\1000nN_0Deg\FLaserSweep0019.ibw,2026-04-16 18:51:55
7,0,1000,1.3069518099210362,5.369799e-07,254319.953125,1292.0915297293006,D:\User Data\MARTI\2026\April\16th\PPLN Multi75 vs Load\1000nN_0Deg\FLaserSweep0022.ibw,2026-04-16 18:53:32
8,0,1000,1.3161981413991446,5.332076e-07,254319.953125,1292.0915297293006,D:\User Data\MARTI\2026\April\16th\PPLN Multi75 vs Load\1000nN_0Deg\FLaserSweep0025.ibw,2026-04-16 18:55:10
9,0,1000,1.3248661448596122,5.2971905e-07,254123.125,1291.0915297293006,D:\User Data\MARTI\2026\April\16th\PPLN Multi75 vs Load\1000nN_0Deg\FLaserSweep0028.ibw,2026-04-16 18:56:47
10,0,1000,1.332381536465543,5.267311e-07,254319.953125,1292.0915297293006,D:\User Data\MARTI\2026\April\16th\PPLN Multi75 vs Load\1000nN_0Deg\FLaserSweep0031.ibw,2026-04-16 18:58:21
11,0,1000,1.3432636461297685,5.2246395e-07,254319.953125,1292.0915297293006,D:\User Data\MARTI\2026\April\16th\PPLN Multi75 vs Load\1000nN_0Deg\FLaserSweep0034.ibw,2026-04-16 18:59:58
12,0,1000,1.3529578033059013,5.187204e-07,254319.953125,1292.0915297293006,D:\User Data\MARTI\2026\April\16th\PPLN Multi75 vs Load\1000nN_0Deg\FLaserSweep0037.ibw,2026-04-16 19:01:34
13,0,1000,1.364305001895188,5.144061e-07,254123.125,1291.0915297293006,D:\User Data\MARTI\2026\April\16th\PPLN Multi75 vs Load\1000nN_0Deg\FLaserSweep0040.ibw,2026-04-16 19:03:13
14,0,1000,1.3731059319960248,5.11109e-07,254319.953125,1292.0915297293006,D:\User Data\MARTI\2026\April\16th\PPLN Multi75 vs Load\1000nN_0Deg\FLaserSweep0043.ibw,2026-04-16 19:04:50
15,0,1000,1.3794760667358983,5.087488e-07,254319.953125,1292.0915297293006,D:\User Data\MARTI\2026\April\16th\PPLN Multi75 vs Load\1000nN_0Deg\FLaserSweep0046.ibw,2026-04-16 19:06:28
16,0,1000,1.3896575160739677,5.0502143e-07,254319.953125,1292.0915297293006,D:\User Data\MARTI\2026\April\16th\PPLN Multi75 vs Load\1000nN_0Deg\FLaserSweep0049.ibw,2026-04-16 19:08:05
17,0,1000,1.4003198576159306,5.011761e-07,254319.953125,1292.0915297293006,D:\User Data\MARTI\2026\April\16th\PPLN Multi75 vs Load\1000nN_0Deg\FLaserSweep0052.ibw,2026-04-16 19:09:42
18,0,1000,1.407634885692801,4.9857164e-07,254319.953125,1292.0915297293006,D:\User Data\MARTI\2026\April\16th\PPLN Multi75 vs Load\1000nN_0Deg\FLaserSweep0055.ibw,2026-04-16 19:11:19
