IGOR
WAVES	Frequency	Phase	Amp
BEGIN
	254123.12	165.58873	0.00039696693
	254319.95	166.39191	0.00042557716
	254516.8	168.23169	0.00040888786
	254713.64	165.45294	0.00038862228
	254910.48	165.5656	0.00041604042
	255107.31	164.93779	0.0004029274
	255304.16	168.31061	0.00042319298
	255501	166.08749	0.00040054321
	255697.84	164.50203	0.00041842461
	255894.69	166.28517	0.00041127205
	256091.52	165.96375	0.00041246414
	256288.36	164.27676	0.00042200089
	256485.2	165.75523	0.00039696693
	256682.05	166.51692	0.00041842461
	256878.89	164.3064	0.00040888786
	257075.72	166.49124	0.00040769577
	257272.56	168.78935	0.00040411949
	257469.41	165.73019	0.00042557716
	257666.25	168.72386	0.00039577484
	257863.09	166.34235	0.00039339066
	258059.92	168.34319	0.00042438507
	258256.77	164.32603	0.00041365623
	258453.61	167.2179	0.00040888786
	258650.45	166.51053	0.00042319298
	258847.3	164.27676	0.00042200089
	259044.12	168.98288	0.00041127205
	259240.97	169.6655	0.00041127205
	259437.81	168.84982	0.00041842461
	259634.66	168.62582	0.00041604042
	259831.48	164.71669	0.00042438507
	260028.33	165.60641	0.00041604042
	260225.17	166.5302	0.00040888786
	260422.02	166.75018	0.00042080879
	260618.86	164.38225	0.00042915344
	260815.69	165.5656	0.00041604042
	261012.53	167.13849	0.00042200089
	261209.38	162.84949	0.0004196167
	261406.22	166.40201	0.00041484833
	261603.06	167.10243	0.00042080879
	261799.89	167.72124	0.00041365623
	261996.73	166.35861	0.00041842461
	262193.56	164.97394	0.00041842461
	262390.41	166.9081	0.00042080879
	262587.25	168.59483	0.00042080879
	262784.09	168.98288	0.00041127205
	262980.94	169.81595	0.00040411949
	263177.78	167.41844	0.00042080879
	263374.62	165.88208	0.00040531158
	263571.47	165.16414	0.00041365623
	263768.31	168.56087	0.00041365623
	263965.16	165.88673	0.00042915344
	264161.97	166.00284	0.00042319298
	264358.81	167.36092	0.0004029274
	264555.66	167.59917	0.00040411949
	264752.5	164.55577	0.00041127205
	264949.34	165.39325	0.00040650368
	265146.19	166.49124	0.00040769577
	265343.03	165.92398	0.00041604042
	265539.88	168.11133	0.00041604042
	265736.72	164.62776	0.00040888786
	265933.56	166.99313	0.00041842461
	266130.38	166.49768	0.0004029274
	266327.22	168.20656	0.00044226646
	266524.06	168.52811	0.00041246414
	266720.91	166.6839	0.00041365623
	266917.75	167.57954	0.00041007996
	267114.59	164.0546	0.00039815903
	267311.44	168.12775	0.00042796135
	267508.28	168.62674	0.00042200089
	267705.12	166.7411	0.00042557716
	267901.94	167.65617	0.00043988228
	268098.78	166.85512	0.00040769577
	268295.62	168.52321	0.00040054321
	268492.47	168.37558	0.00042557716
	268689.31	168.97861	0.00041723251
	268886.16	166.16394	0.00041365623
	269083	165.62628	0.00044107437
	269279.84	166.30797	0.00043272972
	269476.69	165.84521	0.00041842461
	269673.53	167.18851	0.00041842461
	269870.34	168.69005	0.00040650368
	270067.19	168.19292	0.00043034554
	270264.03	171.35457	0.00041127205
	270460.88	169.59229	0.00041484833
	270657.72	166.95436	0.00040054321
	270854.56	168.81639	0.00042319298
	271051.41	168.32762	0.00040650368
	271248.25	165.68735	0.00041842461
	271445.09	166.58524	0.00042557716
	271641.91	167.31163	0.00041723251
	271838.75	166.99358	0.00043392181
	272035.59	167.66089	0.00042915344
	272232.44	168.62582	0.00041604042
	272429.28	168.36636	0.00041365623
	272626.12	169.07411	0.00038266182
	272822.97	166.18991	0.00043869019
	273019.81	170.08134	0.00044226646
	273216.66	168.92979	0.00044584274
	273413.5	167.91672	0.00041484833
	273610.31	169.74004	0.00040769577
	273807.16	168.62766	0.00042915344
	274004	171.72409	0.00039696693
	274200.84	168.95906	0.00044703484
	274397.69	169.73729	0.00043392181
	274594.53	171.00146	0.00041127205
	274791.38	170.86398	0.00041246414
	274988.22	168.03378	0.00040769577
	275185.06	167.98199	0.00043392181
	275381.88	168.88695	0.00040769577
	275578.72	168.62582	0.00041604042
	275775.56	168.13695	0.00041127205
	275972.41	169.9445	0.00041604042
	276169.25	168.53047	0.00042080879
	276366.09	166.8972	0.00042557716
	276562.94	165.68407	0.00041365623
	276759.78	166.40201	0.00041484833
	276956.62	168.62766	0.00042915344
	277153.47	171.01891	0.0004196167
	277350.28	169.93399	0.00040888786
	277547.12	166.30032	0.00044226646
	277743.97	168.71977	0.00045061111
	277940.81	166.49124	0.00040769577
	278137.66	168.43625	0.00042200089
	278334.5	171.21754	0.00042915344
	278531.34	169.88052	0.00046133995
	278728.19	168.8546	0.00040650368
	278925.03	169.96446	0.00043034554
	279121.88	168.29941	0.00041127205
	279318.69	169.40974	0.00042796135
	279515.53	166.36328	0.00041365623
	279712.38	166.67944	0.00043869019
	279909.22	169.37106	0.00045180321
	280106.06	167.40508	0.00044822693
