arm,k1,f_res,g,gain_a,gain_b,f2_pred,m1,m2,anti,all,n,f2_err_kHz,f2_over_f1,gain_ratio_dB,ell
A only,391.87884399766364,292729.9983641758,9028.557521039707,20.29285746818292,,757703.12,2.210701081462716,19.92003972616803,15.913222798838262,7.912638321422335,3,-144.8125,2.588402706364813,,
"A+B, 1 gain",1065.2715952235367,292300.178133533,13554.78175955969,19.646674654108352,,902953.12,9.742326312206028,1.2726711796530121,10.959695765519896,2.054854671432009,3,0.4375,3.0891295577230173,,
"A+B, per-band",974.274017451351,294112.47732674796,18888.28647107536,20.182056479297273,19.298221981557777,901203.12,6.322692899348448,2.97623188855536,14.427939423124108,4.06881070908217,3,-1.3125,3.064144466740175,-7.676888905679904,
"A+B, per-band +GP",974.274017451351,294112.47732674796,18888.28647107536,20.182056479297273,19.298221981557777,901203.12,,,,,3,-1.3125,3.064144466740175,-7.676888905679904,
A only,391.5786257906232,292742.90012038295,9037.352817285733,20.35350563932852,,757703.12,1.6737785663451497,19.591480104146747,18.490480313099734,8.448716683852043,4,-144.8125,2.588288630359316,,
"A+B, 1 gain",759.8626233990806,293269.7102902071,19999.90433458271,20.69706056784639,,878453.12,1.5925481357715023,5.094971911782639,21.04937117109609,9.515834041801511,4,-24.0625,2.995376232788311,,
"A+B, per-band",1003.3253442245206,293332.39848150645,18007.06444343776,20.30837891710084,19.51251017033051,902515.62,4.40138405035478,1.4405862087178736,17.92264634625143,4.494515528329103,4,0.0,3.0767676010970892,-6.912828100832197,
"A+B, per-band +GP",1003.3253442245206,293332.39848150645,18007.06444343776,20.30837891710084,19.51251017033051,902515.62,,,,,4,0.0,3.0767676010970892,-6.912828100832197,
A only,391.8743667488749,292764.2746504505,9031.927540870549,20.399857609332386,,757703.12,1.249511135824895,19.36864245221966,21.820980055261913,8.968882096981623,5,-144.8125,2.588099661082859,,
"A+B, 1 gain",1014.4561798764627,293192.1196072453,11188.7284213864,19.746313888918333,,902078.12,8.542225379438069,0.9541253380741457,16.869375425192228,2.770969248194688,5,-0.4375,3.076747496516642,,
"A+B, per-band",972.4060498018829,294157.74518558604,19682.29826031982,20.47320467836682,19.416750942865843,901203.12,3.980382701887569,2.00356035900361,22.443293688700948,4.03737494936666,5,-1.3125,3.063672926345778,-9.176240554283035,
"A+B, per-band +GP",972.4060498018829,294157.74518558604,19682.29826031982,20.47320467836682,19.416750942865843,902515.62,0.5335404236578014,0.5237982170795552,15.526618326859023,1.0968601348347686,5,0.0,3.0681348180398818,-9.176240554283035,15.0
